epoch,lr,train_loss,train_ce,train_dice_loss,train_kidney,train_tumour,train_cyst,train_mean,val_kidney,val_tumour,val_cyst,val_mean
1,1.00e-04,0.861011,1.029890,0.842246,0.143906,0.023710,0.000076,0.055897,0.086782,0.018906,0.000000,0.035229
2,1.00e-04,0.827289,0.873450,0.822160,0.202658,0.035705,0.091667,0.110010,0.130917,0.020178,0.033334,0.061476
3,9.99e-05,0.810532,0.761322,0.816000,0.248695,0.050022,0.550001,0.282906,0.127192,0.019880,0.100002,0.082358
4,9.98e-05,0.799640,0.727857,0.807616,0.272575,0.061763,0.495834,0.276724,0.159412,0.019996,0.450000,0.209803
5,9.96e-05,0.777452,0.705383,0.785460,0.278672,0.059861,0.608348,0.315627,0.169569,0.030047,0.333395,0.177670
6,9.94e-05,0.755236,0.637173,0.768354,0.320960,0.063141,0.637500,0.340534,0.117091,0.021201,0.450000,0.196098
7,9.91e-05,0.770320,0.613038,0.787795,0.335279,0.061625,0.700000,0.365635,0.170043,0.030846,0.466667,0.222519
8,9.88e-05,0.752985,0.559966,0.774431,0.370910,0.076963,0.645833,0.364569,0.211171,0.037642,0.466667,0.238493
