epoch,lr,train_loss,train_ce,train_dice_loss,train_kidney,train_tumour,train_cyst,train_mean,val_kidney,val_tumour,val_cyst,val_mean
1,1.00e-04,0.835831,0.976930,0.820153,0.123670,0.022176,0.000050,0.048632,0.079379,0.006430,0.000004,0.028605
2,1.00e-04,0.814973,0.827792,0.813549,0.164878,0.028707,0.000042,0.064542,0.072383,0.012993,0.000000,0.028459
3,9.99e-05,0.790916,0.759487,0.794408,0.173890,0.031195,0.000003,0.068363,0.106341,0.017439,0.000001,0.041261
4,9.98e-05,0.777737,0.737687,0.782187,0.205206,0.038879,0.000015,0.081367,0.142225,0.017926,0.000000,0.053384
5,9.96e-05,0.767687,0.676944,0.777769,0.249133,0.056510,0.000000,0.101881,0.120757,0.018554,0.000000,0.046437
6,9.94e-05,0.741395,0.641271,0.752520,0.274214,0.064635,0.016750,0.118533,0.108467,0.017942,0.000000,0.042137
7,9.91e-05,0.716748,0.622618,0.727207,0.280319,0.058392,0.000431,0.113047,0.171317,0.028621,0.000243,0.066727
8,9.88e-05,0.708259,0.585095,0.721944,0.308742,0.058150,0.000098,0.122330,0.188188,0.028561,0.033367,0.083372
